,商品,日期,今值,预测值,前值
0,中国CPI月率报告,1996-02-01,2.1,,
1,中国CPI月率报告,1996-03-01,2.3,,2.1
2,中国CPI月率报告,1996-04-01,0.6,,2.3
3,中国CPI月率报告,1996-05-01,0.7,,0.6
4,中国CPI月率报告,1996-06-01,-0.5,,0.7
5,中国CPI月率报告,1996-07-01,-1.6,,-0.5
6,中国CPI月率报告,1996-08-01,-0.8,,-1.6
7,中国CPI月率报告,1996-09-01,1.5,,-0.8
8,中国CPI月率报告,1996-10-01,1.5,,1.5
9,中国CPI月率报告,1996-11-01,-0.2,,1.5
10,中国CPI月率报告,1996-12-01,-0.1,,-0.2
11,中国CPI月率报告,1997-01-01,0.7,,-0.1
12,中国CPI月率报告,1997-02-01,1.1,,0.7
13,中国CPI月率报告,1997-03-01,2.0,,1.1
14,中国CPI月率报告,1997-04-01,-1.1,,2.0
15,中国CPI月率报告,1997-05-01,-0.2,,-1.1
16,中国CPI月率报告,1997-06-01,-0.9,,-0.2
17,中国CPI月率报告,1997-07-01,-1.7,,-0.9
18,中国CPI月率报告,1997-08-01,-1.2,,-1.7
19,中国CPI月率报告,1997-09-01,0.6,,-1.2
20,中国CPI月率报告,1997-10-01,1.7,,0.6
21,中国CPI月率报告,1997-11-01,-0.6,,1.7
22,中国CPI月率报告,1997-12-01,-0.3,,-0.6
23,中国CPI月率报告,1998-01-01,0.1,,-0.3
24,中国CPI月率报告,1998-02-01,0.7,,0.1
25,中国CPI月率报告,1998-03-01,1.5,,0.7
26,中国CPI月率报告,1998-04-01,-0.5,,1.5
27,中国CPI月率报告,1998-05-01,-0.8,,-0.5
28,中国CPI月率报告,1998-06-01,-1.4,,-0.8
29,中国CPI月率报告,1998-07-01,-1.8,,-1.4
30,中国CPI月率报告,1998-08-01,-1.3,,-1.8
31,中国CPI月率报告,1998-09-01,0.8,,-1.3
32,中国CPI月率报告,1998-10-01,1.6,,0.8
33,中国CPI月率报告,1998-11-01,-0.3,,1.6
34,中国CPI月率报告,1998-12-01,-0.3,,-0.3
35,中国CPI月率报告,1999-01-01,0.2,,-0.3
36,中国CPI月率报告,1999-02-01,0.2,,0.2
37,中国CPI月率报告,1999-03-01,1.3,,0.2
38,中国CPI月率报告,1999-04-01,-0.8,,1.3
39,中国CPI月率报告,1999-05-01,-1.0,,-0.8
40,中国CPI月率报告,1999-06-01,-1.3,,-1.0
41,中国CPI月率报告,1999-07-01,-1.8,,-1.3
42,中国CPI月率报告,1999-08-01,-0.9,,-1.8
43,中国CPI月率报告,1999-09-01,1.0,,-0.9
44,中国CPI月率报告,1999-10-01,2.0,,1.0
45,中国CPI月率报告,1999-11-01,0.0,,2.0
46,中国CPI月率报告,1999-12-01,-0.6,,0.0
47,中国CPI月率报告,2000-01-01,0.0,,-0.6
48,中国CPI月率报告,2000-02-01,0.9,,0.0
49,中国CPI月率报告,2000-03-01,1.9,,0.9
50,中国CPI月率报告,2000-04-01,-1.6,,1.9
51,中国CPI月率报告,2000-05-01,-0.9,,-1.6
52,中国CPI月率报告,2000-06-01,-1.0,,-0.9
53,中国CPI月率报告,2000-07-01,-1.5,,-1.0
54,中国CPI月率报告,2000-08-01,-0.8,,-1.5
55,中国CPI月率报告,2000-09-01,1.0,,-0.8
56,中国CPI月率报告,2000-10-01,1.6,,1.0
57,中国CPI月率报告,2000-11-01,-0.1,,1.6
58,中国CPI月率报告,2000-12-01,0.7,,-0.1
59,中国CPI月率报告,2001-01-01,0.1,,0.7
60,中国CPI月率报告,2001-02-01,0.9,,0.1
61,中国CPI月率报告,2001-03-01,0.1,,0.9
62,中国CPI月率报告,2001-04-01,-0.6,,0.1
63,中国CPI月率报告,2001-05-01,0.2,,-0.6
64,中国CPI月率报告,2001-06-01,-0.5,,0.2
65,中国CPI月率报告,2001-07-01,-1.2,,-0.5
66,中国CPI月率报告,2001-08-01,-0.5,,-1.2
67,中国CPI月率报告,2001-09-01,0.1,,-0.5
68,中国CPI月率报告,2001-10-01,0.9,,0.1
69,中国CPI月率报告,2001-11-01,0.3,,0.9
70,中国CPI月率报告,2001-12-01,-0.2,,0.3
71,中国CPI月率报告,2002-01-01,0.1,,-0.2
72,中国CPI月率报告,2002-02-01,0.3,,0.1
73,中国CPI月率报告,2002-03-01,1.1,,0.3
74,中国CPI月率报告,2002-04-01,-1.3,,1.1
75,中国CPI月率报告,2002-05-01,-0.3,,-1.3
76,中国CPI月率报告,2002-06-01,-0.3,,-0.3
77,中国CPI月率报告,2002-07-01,-0.9,,-0.3
78,中国CPI月率报告,2002-08-01,-0.7,,-0.9
79,中国CPI月率报告,2002-09-01,0.3,,-0.7
80,中国CPI月率报告,2002-10-01,1.0,,0.3
81,中国CPI月率报告,2002-11-01,0.2,,1.0
82,中国CPI月率报告,2002-12-01,-0.1,,0.2
83,中国CPI月率报告,2003-01-01,0.3,,-0.1
84,中国CPI月率报告,2003-02-01,1.1,,0.3
85,中国CPI月率报告,2003-03-01,0.9,,1.1
86,中国CPI月率报告,2003-04-01,-0.6,,0.9
87,中国CPI月率报告,2003-05-01,-0.2,,-0.6
88,中国CPI月率报告,2003-06-01,-0.7,,-0.2
89,中国CPI月率报告,2003-07-01,-1.2,,-0.7
90,中国CPI月率报告,2003-08-01,-0.5,,-1.2
91,中国CPI月率报告,2003-09-01,0.7,,-0.5
92,中国CPI月率报告,2003-10-01,1.2,,0.7
93,中国CPI月率报告,2003-11-01,0.9,,1.2
94,中国CPI月率报告,2003-12-01,1.0,,0.9
95,中国CPI月率报告,2004-01-01,0.6,,1.0
96,中国CPI月率报告,2004-02-01,1.1,,0.6
97,中国CPI月率报告,2004-03-01,-0.2,,1.1
98,中国CPI月率报告,2004-04-01,0.3,,-0.2
99,中国CPI月率报告,2004-05-01,0.5,,0.3
100,中国CPI月率报告,2004-06-01,-0.1,,0.5
101,中国CPI月率报告,2004-07-01,-0.7,,-0.1
102,中国CPI月率报告,2004-08-01,-0.2,,-0.7
103,中国CPI月率报告,2004-09-01,0.7,,-0.2
104,中国CPI月率报告,2004-10-01,1.1,,0.7
105,中国CPI月率报告,2004-11-01,0.0,,1.1
106,中国CPI月率报告,2004-12-01,-0.3,,0.0
107,中国CPI月率报告,2005-01-01,0.1,,-0.3
108,中国CPI月率报告,2005-02-01,0.6,,0.1
109,中国CPI月率报告,2005-03-01,1.8,,0.6
110,中国CPI月率报告,2005-04-01,-0.9,,1.8
111,中国CPI月率报告,2005-05-01,-0.3,,-0.9
112,中国CPI月率报告,2005-06-01,-0.2,,-0.3
113,中国CPI月率报告,2005-07-01,-0.8,,-0.2
114,中国CPI月率报告,2005-08-01,0.0,,-0.8
115,中国CPI月率报告,2005-09-01,0.2,,0.0
116,中国CPI月率报告,2005-10-01,0.7,,0.2
117,中国CPI月率报告,2005-11-01,0.4,,0.7
118,中国CPI月率报告,2005-12-01,-0.3,,0.4
119,中国CPI月率报告,2006-01-01,0.4,,-0.3
120,中国CPI月率报告,2006-02-01,1.3,,0.4
121,中国CPI月率报告,2006-03-01,0.5,,1.3
122,中国CPI月率报告,2006-04-01,-0.9,,0.5
123,中国CPI月率报告,2006-05-01,0.2,,-0.9
124,中国CPI月率报告,2006-06-01,-0.1,,0.2
125,中国CPI月率报告,2006-07-01,-0.5,,-0.1
126,中国CPI月率报告,2006-08-01,-0.3,,-0.5
127,中国CPI月率报告,2006-09-01,0.3,,-0.3
128,中国CPI月率报告,2006-10-01,0.5,,0.3
129,中国CPI月率报告,2006-11-01,0.1,,0.5
130,中国CPI月率报告,2006-12-01,0.3,,0.1
131,中国CPI月率报告,2007-01-01,1.4,,0.3
132,中国CPI月率报告,2007-02-01,0.7,,1.4
133,中国CPI月率报告,2007-03-01,1.0,,0.7
134,中国CPI月率报告,2007-04-01,-0.3,,1.0
135,中国CPI月率报告,2007-05-01,-0.1,,-0.3
136,中国CPI月率报告,2007-06-01,0.3,,-0.1
137,中国CPI月率报告,2007-07-01,0.4,,0.3
138,中国CPI月率报告,2007-08-01,0.9,,0.4
139,中国CPI月率报告,2007-09-01,1.2,,0.9
140,中国CPI月率报告,2007-10-01,0.3,,1.2
141,中国CPI月率报告,2007-11-01,0.3,,0.3
142,中国CPI月率报告,2007-12-01,0.7,,0.3
143,中国CPI月率报告,2008-01-01,1.0,,0.7
144,中国CPI月率报告,2008-02-01,1.2,,1.0
145,中国CPI月率报告,2008-03-01,2.6,,1.2
146,中国CPI月率报告,2008-04-01,-0.7,,2.6
147,中国CPI月率报告,2008-05-01,0.1,,-0.7
148,中国CPI月率报告,2008-06-01,-0.4,,0.1
149,中国CPI月率报告,2008-07-01,-0.2,,-0.4
150,中国CPI月率报告,2008-08-01,0.1,,-0.2
151,中国CPI月率报告,2008-09-01,-0.1,,0.1
152,中国CPI月率报告,2008-10-01,0.0,,-0.1
153,中国CPI月率报告,2008-11-01,-0.3,,0.0
154,中国CPI月率报告,2008-12-01,-0.8,,-0.3
155,中国CPI月率报告,2009-01-01,-0.2,,-0.8
156,中国CPI月率报告,2009-02-01,0.9,,-0.2
157,中国CPI月率报告,2009-03-01,0.0,,0.9
158,中国CPI月率报告,2009-04-01,-0.3,,0.0
159,中国CPI月率报告,2009-05-01,-0.2,,-0.3
160,中国CPI月率报告,2009-06-01,-0.3,,-0.2
161,中国CPI月率报告,2009-07-01,-0.5,,-0.3
162,中国CPI月率报告,2009-08-01,0.0,,-0.5
163,中国CPI月率报告,2009-09-01,0.5,,0.0
164,中国CPI月率报告,2009-10-01,0.4,,0.5
165,中国CPI月率报告,2009-11-01,-0.1,,0.4
166,中国CPI月率报告,2009-12-01,0.3,,-0.1
167,中国CPI月率报告,2010-01-01,1.0,,0.3
168,中国CPI月率报告,2010-02-01,0.6,,1.0
169,中国CPI月率报告,2010-03-01,1.2,,0.6
170,中国CPI月率报告,2010-04-01,-0.7,,1.2
171,中国CPI月率报告,2010-05-01,0.2,,-0.7
172,中国CPI月率报告,2010-06-01,-0.1,,0.2
173,中国CPI月率报告,2010-07-01,-0.6,,-0.1
174,中国CPI月率报告,2010-08-01,0.4,,-0.6
175,中国CPI月率报告,2010-09-01,0.6,,0.4
176,中国CPI月率报告,2010-10-01,0.6,,0.6
177,中国CPI月率报告,2010-11-01,0.7,,0.6
178,中国CPI月率报告,2010-12-01,1.1,,0.7
179,中国CPI月率报告,2011-01-01,0.5,,1.1
180,中国CPI月率报告,2011-02-01,1.0,,0.5
181,中国CPI月率报告,2011-03-01,1.2,,1.0
182,中国CPI月率报告,2011-04-01,-0.2,,1.2
183,中国CPI月率报告,2011-05-01,0.1,,-0.2
184,中国CPI月率报告,2011-06-01,0.1,,0.1
185,中国CPI月率报告,2011-07-01,0.3,,0.1
186,中国CPI月率报告,2011-08-01,0.5,,0.3
187,中国CPI月率报告,2011-09-01,0.3,,0.5
188,中国CPI月率报告,2011-10-01,0.5,,0.3
189,中国CPI月率报告,2011-11-01,0.1,,0.5
190,中国CPI月率报告,2011-12-01,-0.2,,0.1
191,中国CPI月率报告,2012-01-01,0.3,,-0.2
192,中国CPI月率报告,2012-02-01,1.5,,0.3
193,中国CPI月率报告,2012-03-01,-0.1,,1.5
194,中国CPI月率报告,2012-04-01,0.2,,-0.1
195,中国CPI月率报告,2012-05-11,-0.1,-0.2,0.2
196,中国CPI月率报告,2012-06-09,-0.3,-0.1,-0.1
197,中国CPI月率报告,2012-07-09,-0.6,-0.3,-0.3
198,中国CPI月率报告,2012-08-09,0.1,-0.1,-0.6
199,中国CPI月率报告,2012-09-09,0.6,0.5,0.1
200,中国CPI月率报告,2012-10-15,0.3,0.4,0.6
201,中国CPI月率报告,2012-11-09,-0.1,0.1,0.3
202,中国CPI月率报告,2012-12-09,0.1,0.2,-0.1
203,中国CPI月率报告,2013-01-11,0.8,0.5,0.1
204,中国CPI月率报告,2013-02-08,1.0,0.9,0.8
205,中国CPI月率报告,2013-03-09,1.1,0.8,1.0
206,中国CPI月率报告,2013-04-09,-0.9,-0.6,1.1
207,中国CPI月率报告,2013-05-09,0.2,0.1,-0.9
208,中国CPI月率报告,2013-06-09,-0.6,-0.2,0.2
209,中国CPI月率报告,2013-07-09,0.0,-0.2,-0.6
210,中国CPI月率报告,2013-08-09,0.1,0.1,0.0
211,中国CPI月率报告,2013-09-09,0.5,0.4,0.1
212,中国CPI月率报告,2013-10-14,0.8,0.5,0.5
213,中国CPI月率报告,2013-11-09,0.1,0.2,0.8
214,中国CPI月率报告,2013-12-09,-0.1,0.0,0.1
215,中国CPI月率报告,2014-01-09,0.3,0.4,-0.1
216,中国CPI月率报告,2014-02-14,1.0,0.7,0.3
217,中国CPI月率报告,2014-03-09,0.5,0.8,1.0
218,中国CPI月率报告,2014-04-11,-0.5,-0.5,0.5
219,中国CPI月率报告,2014-05-09,-0.3,-0.1,-0.5
220,中国CPI月率报告,2014-06-10,0.1,-0.1,-0.3
221,中国CPI月率报告,2014-07-09,-0.1,,0.1
222,中国CPI月率报告,2014-08-09,0.1,0.1,-0.1
223,中国CPI月率报告,2014-09-11,0.2,0.4,0.1
224,中国CPI月率报告,2014-10-15,0.5,0.4,0.2
225,中国CPI月率报告,2014-11-10,0.0,0.1,0.5
226,中国CPI月率报告,2014-12-10,-0.2,0.1,0.0
227,中国CPI月率报告,2015-01-09,0.3,0.3,-0.2
228,中国CPI月率报告,2015-02-10,0.3,0.4,0.3
229,中国CPI月率报告,2015-03-10,1.2,0.8,0.3
230,中国CPI月率报告,2015-04-10,-0.5,-0.6,1.2
231,中国CPI月率报告,2015-05-09,-0.2,,-0.5
232,中国CPI月率报告,2015-06-09,-0.2,0.0,-0.2
233,中国CPI月率报告,2015-07-09,0.0,-0.1,-0.2
234,中国CPI月率报告,2015-08-09,0.3,0.3,0.0
235,中国CPI月率报告,2015-09-10,0.5,0.4,0.3
236,中国CPI月率报告,2015-10-14,0.1,0.5,0.5
237,中国CPI月率报告,2015-11-10,-0.3,-0.2,0.1
238,中国CPI月率报告,2015-12-09,0.0,-0.1,-0.3
239,中国CPI月率报告,2016-01-09,0.5,0.4,0.0
240,中国CPI月率报告,2016-02-18,0.5,0.5,0.5
241,中国CPI月率报告,2016-03-10,1.6,1.1,0.5
242,中国CPI月率报告,2016-04-11,-0.4,-0.3,1.6
243,中国CPI月率报告,2016-05-10,-0.2,-0.2,-0.4
244,中国CPI月率报告,2016-06-09,-0.5,-0.2,-0.2
245,中国CPI月率报告,2016-07-10,-0.1,-0.3,-0.5
246,中国CPI月率报告,2016-08-09,0.2,0.1,-0.1
247,中国CPI月率报告,2016-09-09,0.1,0.3,0.2
248,中国CPI月率报告,2016-10-14,0.7,0.3,0.1
249,中国CPI月率报告,2016-11-09,-0.1,,0.7
250,中国CPI月率报告,2016-12-09,0.1,0.1,-0.1
251,中国CPI月率报告,2017-01-10,0.2,0.3,0.1
252,中国CPI月率报告,2017-02-14,1.0,0.7,0.2
253,中国CPI月率报告,2017-03-09,-0.2,0.6,1.0
254,中国CPI月率报告,2017-04-12,-0.3,-0.3,-0.2
255,中国CPI月率报告,2017-05-10,0.1,,-0.3
256,中国CPI月率报告,2017-06-09,-0.1,-0.2,0.1
257,中国CPI月率报告,2017-07-10,-0.2,-0.1,-0.1
258,中国CPI月率报告,2017-08-09,0.1,0.2,-0.2
259,中国CPI月率报告,2017-09-09,0.4,0.3,0.1
260,中国CPI月率报告,2017-10-16,0.5,0.4,0.4
261,中国CPI月率报告,2017-11-09,0.1,0.2,0.5
262,中国CPI月率报告,2017-12-09,0.0,0.1,0.1
263,中国CPI月率报告,2018-01-10,0.3,0.4,0.0
264,中国CPI月率报告,2018-02-09,0.6,0.7,0.3
265,中国CPI月率报告,2018-03-09,1.2,0.8,0.6
266,中国CPI月率报告,2018-04-11,-1.1,-0.5,1.2
267,中国CPI月率报告,2018-05-10,-0.2,-0.1,-1.1
268,中国CPI月率报告,2018-06-09,-0.2,-0.1,-0.2
269,中国CPI月率报告,2018-07-10,-0.1,0.1,-0.2
270,中国CPI月率报告,2018-08-09,0.3,0.2,-0.1
271,中国CPI月率报告,2018-09-10,0.7,0.5,0.3
272,中国CPI月率报告,2018-10-16,0.7,0.7,0.7
273,中国CPI月率报告,2018-11-09,0.2,0.2,0.7
274,中国CPI月率报告,2018-12-09,-0.3,-0.1,0.2
275,中国CPI月率报告,2019-01-10,0.0,0.3,-0.3
276,中国CPI月率报告,2019-02-15,0.5,0.5,0.0
277,中国CPI月率报告,2019-03-09,1.0,0.7,0.5
278,中国CPI月率报告,2019-04-11,-0.4,-0.2,1.0
279,中国CPI月率报告,2019-05-09,0.1,0.1,-0.4
280,中国CPI月率报告,2019-06-12,0.0,0.1,0.1
281,中国CPI月率报告,2019-07-10,-0.1,-0.1,0.1
282,中国CPI月率报告,2019-08-09,0.4,0.2,-0.1
283,中国CPI月率报告,2019-09-10,0.7,0.5,0.4
284,中国CPI月率报告,2019-10-15,0.9,0.7,0.7
285,中国CPI月率报告,2019-11-09,,0.7,0.9
286,中国CPI月率报告,2019-12-10,0.4,0.1,0.9
287,中国CPI月率报告,2020-01-09,0.0,0.3,0.4
288,中国CPI月率报告,2020-02-10,1.4,0.8,0.4
289,中国CPI月率报告,2020-03-10,0.8,0.8,1.4
290,中国CPI月率报告,2020-04-10,-1.2,-0.7,0.8
291,中国CPI月率报告,2020-05-12,-0.9,-0.5,-1.2
292,中国CPI月率报告,2020-06-10,-0.8,-0.5,-0.9
293,中国CPI月率报告,2020-07-09,-0.1,-0.5,-0.8
294,中国CPI月率报告,2020-08-10,0.6,0.4,-0.1
295,中国CPI月率报告,2020-09-09,0.4,0.4,0.6
296,中国CPI月率报告,2020-10-15,0.2,0.3,0.4
297,中国CPI月率报告,2020-11-10,-0.3,0.2,0.2
298,中国CPI月率报告,2020-12-09,-0.6,-0.2,-0.3
299,中国CPI月率报告,2021-01-11,0.7,0.4,-0.6
300,中国CPI月率报告,2021-02-10,1.0,1.0,0.7
301,中国CPI月率报告,2021-03-10,0.6,0.4,1.0
302,中国CPI月率报告,2021-04-09,-0.5,-0.4,0.6
303,中国CPI月率报告,2021-05-11,-0.3,-0.2,-0.5
304,中国CPI月率报告,2021-06-09,-0.2,-0.1,-0.3
305,中国CPI月率报告,2021-07-09,-0.4,-0.1,-0.2
306,中国CPI月率报告,2021-08-09,0.3,0.2,-0.4
307,中国CPI月率报告,2021-09-09,0.1,0.5,0.3
308,中国CPI月率报告,2021-10-14,0.0,0.3,0.1
309,中国CPI月率报告,2021-11-10,0.7,0.7,0.1
310,中国CPI月率报告,2021-12-09,0.4,0.3,0.7
311,中国CPI月率报告,2022-01-12,-0.3,0.2,0.4
312,中国CPI月率报告,2022-02-16,0.4,0.5,-0.3
313,中国CPI月率报告,2022-03-09,0.6,0.3,0.4
314,中国CPI月率报告,2022-04-11,0.0,-0.1,0.6
315,中国CPI月率报告,2022-05-11,0.4,0.2,0.6
316,中国CPI月率报告,2022-06-10,-0.2,-0.3,0.4
317,中国CPI月率报告,2022-07-09,0.0,-0.1,-0.2
318,中国CPI月率报告,2022-08-10,0.5,0.5,-0.2
319,中国CPI月率报告,2022-09-09,-0.1,0.2,0.5
320,中国CPI月率报告,2022-10-14,0.3,0.4,-0.1
321,中国CPI月率报告,2022-11-09,0.1,0.3,0.3
322,中国CPI月率报告,2022-12-09,-0.2,-0.2,0.1
323,中国CPI月率报告,2023-01-12,0.0,-0.1,-0.2
324,中国CPI月率报告,2023-02-10,0.8,0.7,0.0
325,中国CPI月率报告,2023-03-09,-0.5,0.2,0.8
326,中国CPI月率报告,2023-04-11,-0.3,0.2,-0.5
327,中国CPI月率报告,2023-05-11,-0.1,0.0,-0.3
328,中国CPI月率报告,2023-06-09,-0.2,-0.1,-0.1
329,中国CPI月率报告,2023-07-10,-0.2,0.0,-0.2
330,中国CPI月率报告,2023-08-09,0.2,-0.1,-0.2
331,中国CPI月率报告,2023-09-09,0.3,0.3,0.2
332,中国CPI月率报告,2023-10-13,0.2,0.3,0.3
333,中国CPI月率报告,2023-11-09,-0.1,0.0,0.2
334,中国CPI月率报告,2023-12-09,-0.5,-0.1,-0.1
335,中国CPI月率报告,2024-01-12,0.1,0.2,-0.5
336,中国CPI月率报告,2024-02-08,0.3,0.4,0.1
337,中国CPI月率报告,2024-03-09,1.0,0.7,0.3
338,中国CPI月率报告,2024-04-11,-1.0,-0.5,1.0
339,中国CPI月率报告,2024-05-11,0.1,,-1.0
340,中国CPI月率报告,2024-06-12,-0.1,0.0,0.1
341,中国CPI月率报告,2024-07-10,,,-0.1
