,TRADE_DATE,LPR1Y,LPR5Y,RATE_1,RATE_2
0,1991-04-21,,,8.64,9.72
1,1993-05-15,,,9.36,12.24
2,1993-07-11,,,10.98,14.04
3,1995-01-01,,,10.98,14.76
4,1995-07-01,,,12.06,15.3
5,1996-05-01,,,10.98,15.12
6,1996-08-23,,,10.08,12.42
7,1997-10-23,,,8.64,10.53
8,1998-03-25,,,7.92,10.35
9,1998-07-01,,,6.93,8.01
10,1998-12-07,,,6.39,7.56
11,1999-06-10,,,5.85,6.21
12,2002-02-21,,,5.31,5.76
13,2004-10-29,,,5.58,6.12
14,2006-04-28,,,5.85,6.39
15,2006-08-19,,,6.12,6.84
16,2007-03-18,,,6.39,7.11
17,2007-05-19,,,6.57,7.2
18,2007-07-21,,,6.84,7.38
19,2007-08-22,,,7.02,7.56
20,2007-09-15,,,7.29,7.83
21,2007-12-21,,,7.47,7.83
22,2008-09-16,,,7.2,7.74
23,2008-10-09,,,6.93,7.47
24,2008-10-30,,,6.66,7.2
25,2008-11-27,,,5.58,6.12
26,2008-12-23,,,5.31,5.94
27,2010-10-20,,,5.56,6.14
28,2010-12-26,,,5.81,6.4
29,2011-02-09,,,6.06,6.6
30,2011-04-06,,,6.31,6.8
31,2011-07-07,,,6.56,7.05
32,2012-06-08,,,6.31,6.8
33,2012-07-06,,,6.0,6.55
34,2013-10-25,5.71,,6.0,6.55
35,2013-10-28,5.72,,6.0,6.55
36,2013-10-29,5.72,,6.0,6.55
37,2013-10-30,5.72,,6.0,6.55
38,2013-10-31,5.72,,6.0,6.55
39,2013-11-01,5.72,,6.0,6.55
40,2013-11-04,5.72,,6.0,6.55
41,2013-11-05,5.72,,6.0,6.55
42,2013-11-06,5.72,,6.0,6.55
43,2013-11-07,5.72,,6.0,6.55
44,2013-11-08,5.72,,6.0,6.55
45,2013-11-11,5.72,,6.0,6.55
46,2013-11-12,5.72,,6.0,6.55
47,2013-11-13,5.72,,6.0,6.55
48,2013-11-14,5.72,,6.0,6.55
49,2013-11-15,5.72,,6.0,6.55
50,2013-11-18,5.72,,6.0,6.55
51,2013-11-19,5.73,,6.0,6.55
52,2013-11-20,5.73,,6.0,6.55
53,2013-11-21,5.73,,6.0,6.55
54,2013-11-22,5.73,,6.0,6.55
55,2013-11-25,5.73,,6.0,6.55
56,2013-11-26,5.73,,6.0,6.55
57,2013-11-27,5.73,,6.0,6.55
