,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
0,601127,赛力斯601127龙虎榜数据(06-25),沪深交易所2024年06月25日公布的交易公开信息显示，赛力斯因成为当日跌幅偏离值达7%的证券上榜。,2024-06-25 20:00:28,东方财富Choice数据,http://stock.eastmoney.com/a/202406253113310816.html
1,601127,赛力斯601127.SH)：重大资产重组事项正在推进中,2024年5月29日，赛力斯601127.SH)发布重大资产重组进展公告。,2024-05-29 17:51:49,界面新闻,http://finance.eastmoney.com/a/202405293090313155.html
2,601127,赛力斯601127.SH)：2024年前一季度净利润为2.2亿元，同比扭亏为盈,2024年04月30日，赛力斯601127.SH)发布2024年一季度业绩报告。 ,2024-05-01 09:41:54,界面新闻,http://finance.eastmoney.com/a/202405013066048894.html
3,601127,赛力斯601127.SH)：公司基本面没有重大变化 员工持股计划筹划中,2024年2月27日，赛力斯601127.SH)发布股票交易异常波动公告称，公司基本面没有重大变化，除公司正在筹划员工持股计划外,2024-02-28 09:32:10,界面新闻,http://finance.eastmoney.com/a/202402282996874915.html
4,601127,赛力斯在上海成立科技公司,企查查股权穿透显示，该公司由赛力斯601127旗下赛力斯汽车有限公司全资持股。 （文章来源：证券时报）,2024-06-25 14:13:39,证券时报,http://finance.eastmoney.com/a/202406253113028752.html
5,601127,赛力斯午后触及跌停,北京商报讯（记者马换换实习生王蔓蕾）6月25日午后，赛力斯（601127）股价持续走低，盘中触及跌停价85.71元/股,2024-06-25 14:49:29,北京商报,http://finance.eastmoney.com/a/202406253113059865.html
6,601127,赛力斯股价突破百元 市值超过1500亿元,证券时报e公司讯，6月18日，赛力斯601127股价大涨8%，股价报收100.35元/股，正式突破百元大关，总市值达,2024-06-18 19:27:22,证券时报网,http://finance.eastmoney.com/a/202406183106867141.html
7,601127,赛力斯：赛力斯汽车拟12.54亿元收购赛力斯电动剩余55%股权,赛力斯6011276月11日晚间公告，2024年6月11日，公司召开第五届董事会第十二次会议，审议并通过了《关于重庆赛力斯电动汽车有限公司的议案,2024-06-11 18:40:16,证券时报网,http://finance.eastmoney.com/a/202406113100924028.html
8,601127,赛力斯回应股价跌停：市场的正常波动和表现 对市场传言“并不知情”,6月25日，A股汽车整车股持续走低，赛力斯（601127.SH）直线跳水领跌，最终跌停收盘，股价报85.71元，成交额,2024-06-25 19:55:59,21世纪经济报道,http://finance.eastmoney.com/a/202406253113306879.html
9,601127,赛力斯：5月赛力斯汽车销量同比增长489.13%,赛力斯6011276月2日午后发布5月份产销快报，5月实现新能源汽车销量34130辆，同比增长298.62%；其中赛力斯汽车,2024-06-02 15:30:28,证券时报,http://finance.eastmoney.com/a/202406023093118668.html
10,601127,赛力斯5月汽车销量同比增长489%，新能源汽车销量同比增长298%,赛力斯6011276月2日发布5月份产销快报，5月赛力斯实现新能源汽车销量34130辆，同比增长298.62%；其中赛力斯汽车,2024-06-02 21:11:55,读创,http://finance.eastmoney.com/a/202406023093164197.html
11,601127,赛力斯：5月新能源汽车销量同比增长298.62%,证券时报e公司讯，赛力斯6011276月2日晚间发布5月份产销快报，5月实现新能源汽车销量34130辆，同比增长298.62%,2024-06-02 15:54:03,证券时报网,http://finance.eastmoney.com/a/202406023093124131.html
12,601127,5月新能源汽车销量同比增长33.3%，汽车ETF(159512)冲击5连阳,截至 09:55，中证全指汽车指数(931008)强势上涨1.46%，成分股赛力斯601127上涨4.00%，中集车辆,2024-06-17 10:18:02,界面新闻,http://finance.eastmoney.com/a/202406173105376745.html
13,601127,赛力斯：业绩说明会定于6月19日举行,赛力斯（SH 601127，收盘价：86.67元）6月7日晚间发布公告称，公司2023年度暨2024年第一季度业绩说明会定于,2024-06-07 17:42:14,每日经济新闻,http://finance.eastmoney.com/a/202406073099374354.html
14,601127,赛力斯股价25日跌停？公司如此回应,日发布研报《赛力斯601127：5月销量同比大幅上升问界品牌在中国高端新势力的地位进一步稳固》称，维持赛力斯“买入”投资评级,2024-06-26 00:41:42,广州日报,http://finance.eastmoney.com/a/202406263113430775.html
15,601127,赛力斯罕见跌停，成交95亿，内部人士回应广发系刘格崧爆仓传言：并不知情,红星资本局6月25日消息，赛力斯（601127.SH）今日午后直线跳水，最终以跌停报收。,2024-06-25 16:48:22,红星资本局,http://finance.eastmoney.com/a/202406253113165368.html
